Id,Label,timeset,num_minutes,avg_hour,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
182,ONW,,394.117676,15.126582,2,2,4,5,0.348733,0.374929,0
183,KDMAS,,352.026187,15.4,1,1,2,2,0.666667,0.75,4
184,OWBVW,,350.28216,15.212963,11,18,29,5,0.442344,0.487678,242.575334
185,BERSS,,341.667267,15.263158,1,2,3,2,0.625,0.7,6
186,LCYS,,308.130278,15.820628,8,11,19,5,0.422383,0.459544,729.522095
187,RDEN,,302.942389,13.488889,4,3,7,5,0.326816,0.353134,234.5
188,SJMEM,,298.292144,13.230769,4,3,7,5,0.326816,0.353134,27.877757
189,UVO1,,275.116367,17.704225,0,5,5,5,0.345588,0.37922,0
190,MSM4,,271.319967,18.104167,3,3,6,5,0.378641,0.410541,761.148902
191,OWNG,,266.000327,14.580645,3,2,5,7,0.209115,0.221968,4.960562
192,MSM3,,259.94779,19.765957,3,4,7,6,0.298469,0.322436,262.533874
193,ZHBR,,259.751391,15.38,2,2,4,6,0.276596,0.293234,2.478927
194,GANE,,258.655483,18.73913,0,1,1,7,0.194103,0.201577,0
195,MAR3,,255.447136,20.173913,5,4,9,5,0.365625,0.398148,931.386499
196,OQY27,,251.94599,18.421053,0,0,0,0,0,0,0
197,ENMK,,247.673813,14.37037,0,0,0,0,0,0,0
198,OXQ,,239.328314,18.8,0,0,0,0,0,0,0
199,OQY11,,231.340098,16.086957,0,0,0,0,0,0,0
200,RQLCE,,230.378887,14.852564,2,4,6,5,0.366771,0.397863,5.722401
201,OQY10,,228.606383,16.964286,1,1,2,2,0.666667,0.75,2
202,VAABB,,215.57856,18.903226,3,3,6,5,0.365625,0.394017,26.667284
203,OQY25,,214.761211,15.75,0,0,0,0,0,0,0
204,VHVP,,193.940916,18.575,2,3,5,5,0.372611,0.402564,5.534865
205,CXECE,,185.603273,14.550459,5,4,9,5,0.362229,0.391524,234.952381
206,LJQ,,184.186252,15.5,1,1,2,1,1,1,5.680539
207,YBZt7,,169.8018,15.785714,1,1,2,1,1,1,0
208,MAR2,,167.723077,17.863636,1,1,2,6,0.268571,0.282624,235
209,ZEGRK,,163.08707,13.015873,3,3,6,6,0.262626,0.280983,218.499862
210,LCY-S,,158.430442,14.991304,11,6,17,5,0.356164,0.386752,7.933623
211,USD,,151.241244,18,2,0,2,0,0,0,0
212,AVTB,,149.194763,15.6,0,1,1,5,0.352941,0.463889,0
213,MSM6,,145.694926,20.888889,0,0,0,0,0,0,0
214,OQY32,,137.084779,17.045455,0,0,0,0,0,0,0
215,OQY23,,127.968412,16.578947,0,0,0,0,0,0,0
216,DZW2,,127.250246,18.142857,0,0,0,0,0,0,0
217,SDV,,125.940589,18.5,0,0,0,0,0,0,0
218,OQY6,,114.399673,15.875,1,1,2,1,1,1,0
219,AJRT,,110.173977,13.540984,3,4,7,6,0.314939,0.336681,296.188293
220,LXZic,,109.925368,15.068627,3,3,6,5,0.380488,0.410185,21.180032
221,MSM5,,108.345008,19.111111,2,1,3,6,0.274971,0.288462,0
222,RSNE,,105.87545,17.4,0,0,0,0,0,0,0
223,DZWNW,,102.300982,14.476923,2,3,5,5,0.365625,0.39651,6.507661
224,OQY8,,99.146972,15.238095,0,0,0,0,0,0,0
225,GAN2W,,97.986252,18.777778,0,0,0,0,0,0,0
226,QBCIT,,97.828642,13.737864,6,4,10,5,0.302326,0.325285,157.728436
227,OQY31,,91.372668,16.458333,0,0,0,0,0,0,0
228,MSM1,,90.43617,18.567164,4,5,9,5,0.389351,0.423291,227.228844
229,ANME,,80.880033,14,1,0,1,0,0,0,0
230,OQY30,,80.325859,14.375,0,0,0,0,0,0,0
231,FXJ,,75.122422,19.428571,0,0,0,0,0,0,0
232,QVN,,73.105565,14.888889,1,2,3,6,0.300771,0.317593,0
233,NWLG,,71.910966,14.204082,2,1,3,6,0.276596,0.291809,4.400043
234,GAN2E,,68.1491,19.705882,1,1,2,6,0.239837,0.25,236
235,YBZt8,,62.730278,15.651163,1,1,2,5,0.358896,0.385541,0
236,OQY15,,61.552864,14.772727,0,0,0,0,0,0,0
237,CVXCS,,59.567758,17.24359,1,4,5,5,0.376206,0.4099,225
238,AWIL,,59.370867,15.772152,4,4,8,5,0.406957,0.43604,0
239,BSOIS,,58.540589,15.322581,1,1,2,2,0.666667,0.75,0
240,ENQSW,,53.991162,17.148148,1,1,2,6,0.247096,0.259615,0
241,MAR8,,53.891653,20.05,2,1,3,5,0.333333,0.35698,234
242,YBZt6,,52.419967,17.095238,0,1,1,1,1,1,0
243,OQY1,,49.531424,15.60177,3,5,8,5,0.372611,0.407692,12.124596
